PREFERENCE,PROPERTY_TYPE,CITY,LOCALITY,TRANSACT_TYPE,OWNTYPE, PRICE_PER_UNIT_AREA ,,FURNISH,FACING,AGE,FLOOR_NUM,TOTAL_FLOOR,REGISTER_DATE,PROP_NAME,MIN_PRICE ,MAX_PRICE ,PRICE_SQFT ,,LISTING,CARPET_SQFT,SUPERBUILTUP_SQFT,BROKERAGE,MIN_AREA_SQFT, MAX_AREA_SQFT ,GROUP_NAME,AREA,PRICE,SOCIETY_NAME,BUILDING_NAME
R,Residential Apartment,Gurgaon,Sector 67A Gurgaon,,0,50.00,,4,7,1,10,14,"05th Oct, 2023",Pyramid Urban,35000.00,35000.00,50.00,,P,700,,16500.00,65.03, ? 65.03 ,SPID_GROUP_SEARCH_NORMAL,700 sq.ft.,35000.00,Pyramid Urban,Pyramid Urban
S,Independent/Builder Floor,Gurgaon,Sector 48 Gurgaon,1,1,8250.00,,4,5,2,1,2,"29th Sep, 2023",Vipul World,16500000.00,16500000.00,8250.00,,R,2000,,1.00,185.81, ? 185.81 ,SPID_GROUP_SEARCH_NORMAL,2000 sq.ft.,16500000.00,Vipul World,Vipul World
S,Residential Land,Gurgaon,Malibu Town,1,1,210000.00,,0,1,0,,4,"29th Sep, 2023",Malibu Towne,105000000.00,105000000.00,210000.00,,R,,,1.00,418.06, ? 418.06 ,SPID_GROUP_SEARCH_NORMAL,4500 sq.ft.,105000000.00,Malibu Towne,Malibu Towne
R,Independent/Builder Floor,Gurgaon,Malibu Town,,0,53.00,,1,5,2,3,4,"29th Sep, 2023",Malibu Towne,32000.00,32000.00,53.00,,R,600,,50.00,55.74, ? 55.74 ,SPID_GROUP_SEARCH_NORMAL,600 sq.ft.,32000.00,Malibu Towne,Malibu Towne
S,Independent House/Villa,Gurgaon,Sector 48 Gurgaon,1,1,192307.00,,4,8,2,,2,"29th Sep, 2023",Eldeco Mansionz,50000000.00,50000000.00,192307.00,,R,,,1.00,217.39, ? 217.39 ,SPID_GROUP_SEARCH_NORMAL,2340 sq.ft.,50000000.00,Eldeco Mansionz,Eldeco Mansionz
S,Independent/Builder Floor,Gurgaon,Sector 48 Gurgaon,1,1,10191.00,,4,1,1,2,2,"29th Sep, 2023",Vipul World,16000000.00,16000000.00,10191.00,,R,1570,,1.00,145.86, ? 145.86 ,SPID_GROUP_SEARCH_NORMAL,1570 sq.ft.,16000000.00,Vipul World,Vipul World
S,Independent House/Villa,Gurgaon,Sector 33 Gurgaon,1,1,180909.00,,4,3,6,,2,"29th Sep, 2023",Unitech Uniworld Resorts,99500000.00,99500000.00,180909.00,,R,,,1.00,459.87, ? 459.87 ,SPID_GROUP_SEARCH_NORMAL,4950 sq.ft.,99500000.00,Unitech Uniworld Resorts,Unitech Uniworld Resorts
S,Residential Apartment,Gurgaon,Sector 48 Gurgaon,1,1,13317.00,,4,1,2,11,14,"29th Sep, 2023",Vipul Greens,28900000.00,28900000.00,13317.00,,R,2000,2170,1.00,201.60, ? 201.60 ,SPID_GROUP_SEARCH_NORMAL,2170 sq.ft.,28900000.00,Vipul Greens,Vipul Greens
S,Residential Land,Gurgaon,Sector 50 Gurgaon,1,1,160000.00,,0,5,0,,3,"28th Sep, 2023",Unitech South City 2,123200000.00,123200000.00,160000.00,,R,,,1.00,643.82, ? 643.82 ,SPID_GROUP_SEARCH_NORMAL,6930 sq.ft.,123200000.00,Unitech South City 2,Unitech South City 2
S,Independent House/Villa,Gurgaon,Sector 33 Gurgaon,1,1,179487.00,,4,5,2,,3,"28th Sep, 2023",Unitech Uniworld Resorts,98000000.00,98000000.00,179487.00,,R,,,1.00,50.73, ? 50.73 ,SPID_GROUP_SEARCH_NORMAL,546 sq.ft.,98000000.00,Unitech Uniworld Resorts,Unitech Uniworld Resorts
R,Residential Apartment,Gurgaon,Sector 67A Gurgaon,,0,52.00,,1,5,1,9,15,"26th Sep, 2023",Pyramid Urban,31500.00,31500.00,52.00,,P,598,,16500.00,55.56, ? 55.56 ,SPID_GROUP_SEARCH_NORMAL,598 sq.ft.,31500.00,Pyramid Urban,Pyramid Urban
S,Residential Apartment,Gurgaon,Sector 111 Gurgaon,1,1,12000.00,,2,1,2,6,21,"23rd Sep, 2023",Puri Diplomatic Greens,36000003.00,36000003.00,12000.00,,R,,2950,1.00,274.06, ? 274.06 ,SPID_GROUP_SEARCH_NORMAL,2950 sq.ft.,36000000.00,Puri Diplomatic Greens,Puri Diplomatic Greens
S,Residential Land,Gurgaon,Malibu Town,1,1,215000.00,,0,1,0,,4,"22nd Sep, 2023",Malibu Towne,109650000.00,109650000.00,215000.00,,R,,,1.00,426.42, ? 426.42 ,SPID_GROUP_SEARCH_NORMAL,4590 sq.ft.,109700000.00,Malibu Towne,Malibu Towne
S,Independent House/Villa,Gurgaon,Sector 48 Gurgaon,1,1,190384.00,,4,8,2,,2,"22nd Sep, 2023",Eldeco Mansionz,49500000.00,49500000.00,190384.00,,R,,,1.00,217.39, ? 217.39 ,SPID_GROUP_SEARCH_NORMAL,2340 sq.ft.,49500000.00,Eldeco Mansionz,Eldeco Mansionz
S,Residential Apartment,Gurgaon,Sector 48 Gurgaon,1,1,11253.00,,4,1,2,10,14,"22nd Sep, 2023",Vipul Greens,29000000.00,29000000.00,11253.00,,R,2100,2577,1.00,239.41, ? 239.41 ,SPID_GROUP_SEARCH_NORMAL,2577 sq.ft.,29000000.00,Vipul Greens,Vipul Greens
S,Residential Land,Gurgaon,Sector 73 Gurgaon,1,1,131000.00,,0,4,0,,4,"22nd Sep, 2023",AB Realty The Valencia,23056000.00,23056000.00,131000.00,,R,,,1.00,147.16, ? 147.16 ,SPID_GROUP_SEARCH_NORMAL,1584 sq.ft.,23100000.00,AB Realty The Valencia,AB Realty The Valencia
S,Independent House/Villa,Gurgaon,Sector 48 Gurgaon,1,1,190384.00,,4,5,2,,2,"22nd Sep, 2023",Eldeco Mansionz,49500000.00,49500000.00,190384.00,,R,,,1.00,217.39, ? 217.39 ,SPID_GROUP_SEARCH_NORMAL,2340 sq.ft.,49500000.00,Eldeco Mansionz,Eldeco Mansionz
S,Independent House/Villa,Gurgaon,Sector 33 Gurgaon,1,1,183150.00,,4,5,2,,2,"22nd Sep, 2023",Unitech Uniworld Resorts,100000000.00,100000000.00,183150.00,,R,,,1.00,456.53, ? 456.53 ,SPID_GROUP_SEARCH_NORMAL,4914 sq.ft.,100000000.00,Unitech Uniworld Resorts,Unitech Uniworld Resorts
S,Independent/Builder Floor,Gurgaon,Sector 48 Gurgaon,1,1,6800.00,,4,5,2,1,2,"22nd Sep, 2023",Vipul World,17000000.00,17000000.00,6800.00,,R,2500,,1.00,232.26, ? 232.26 ,SPID_GROUP_SEARCH_NORMAL,2500 sq.ft.,17000000.00,Vipul World,Vipul World
R,Independent House/Villa,Gurgaon,Nirvana Country,,0,238.00,,4,6,3,,2,"21st Sep, 2023",Unitech Deerwood Chase,119000.00,119000.00,238.00,,R,,,50000.00,418.06, ? 418.06 ,SPID_GROUP_SEARCH_NORMAL,4500 sq.ft.,11900000.00,Unitech Deerwood Chase,Unitech Deerwood Chase
R,Independent House/Villa,Gurgaon,Nirvana Country,,0,250.00,,4,5,2,,3,"20th Sep, 2023",Unitech Deerwood Chase,125000.00,125000.00,250.00,,R,,,50.00,418.06, ? 418.06 ,SPID_GROUP_SEARCH_NORMAL,4500 sq.ft.,12500000.00,Unitech Deerwood Chase,Unitech Deerwood Chase
S,Residential Apartment,Gurgaon,Sector 108 Gurgaon,1,1,15976.00,,2,1,1,12,24,"20th Sep, 2023",Sobha City,32000007.00,32000007.00,15976.00,,R,,2003,1.00,186.08, ? 186.08 ,SPID_GROUP_SEARCH_NORMAL,2003 sq.ft.,32000000.00,Sobha City,Sobha City
S,Residential Apartment,Gurgaon,Sector 108 Gurgaon,1,1,16409.00,,2,1,2,12,24,"20th Sep, 2023",Sobha City,34000007.00,34000007.00,16409.00,,R,,2072,1.00,192.50, ? 192.50 ,SPID_GROUP_SEARCH_NORMAL,2072 sq.ft.,34000000.00,Sobha City,Sobha City
S,Residential Apartment,Gurgaon,Sector 108 Gurgaon,1,1,16656.00,,2,1,2,11,24,"20th Sep, 2023",Sobha City,28500007.00,28500007.00,16656.00,,R,,1711,1.00,158.96, ? 158.96 ,SPID_GROUP_SEARCH_NORMAL,1711 sq.ft.,28500000.00,Sobha City,Sobha City
R,Residential Apartment,Gurgaon,Sector 70 Gurgaon,,0,26.00,,4,5,2,6,12,"20th Sep, 2023",Tulip Ivory,52000.00,52000.00,26.00,,R,2000,2400,50.00,222.97, ? 222.97 ,SPID_GROUP_SEARCH_NORMAL,2400 sq.ft.,52000.00,Tulip Ivory,Tulip Ivory
S,Residential Apartment,Gurgaon,Sector 108 Gurgaon,1,1,16858.00,,2,1,1,15,24,"20th Sep, 2023",Sobha City,39500007.00,39500007.00,16858.00,,R,,2343,1.00,217.67, ? 217.67 ,SPID_GROUP_SEARCH_NORMAL,2343 sq.ft.,39500000.00,Sobha City,Sobha City
S,Residential Apartment,Gurgaon,Sector 108 Gurgaon,1,1,8986.00,,2,1,2,10,14,"20th Sep, 2023",Experion The Heartsong,18000007.00,18000007.00,8986.00,,R,,2003,1.00,186.08, ? 186.08 ,SPID_GROUP_SEARCH_NORMAL,2003 sq.ft.,18000000.00,Experion The Heartsong,Experion The Heartsong
S,Residential Apartment,Gurgaon,Sector 108 Gurgaon,1,1,8418.00,,2,1,2,6,14,"20th Sep, 2023",Experion The Heartsong,14800007.00,14800007.00,8418.00,,R,,1758,1.00,163.32, ? 163.32 ,SPID_GROUP_SEARCH_NORMAL,1758 sq.ft.,14800000.00,Experion The Heartsong,Experion The Heartsong
R,Independent House/Villa,Gurgaon,Nirvana Country,,0,240.00,,4,4,2,,2,"19th Sep, 2023",Unitech Deerwood Chase,120000.00,120000.00,240.00,,R,,,50000.00,418.06, ? 418.06 ,SPID_GROUP_SEARCH_NORMAL,4500 sq.ft.,12000000.00,Unitech Deerwood Chase,Unitech Deerwood Chase
S,Residential Apartment,Gurgaon,Sector 109 Gurgaon,1,1,10262.00,,2,1,2,12,22,"18th Sep, 2023",ATS Kocoon,21500007.00,21500007.00,10262.00,,R,,2095,1.00,194.63, ? 194.63 ,SPID_GROUP_SEARCH_NORMAL,2095 sq.ft.,21500000.00,ATS Kocoon,ATS Kocoon
S,Residential Apartment,Gurgaon,Sector 109 Gurgaon,1,1,10935.00,,2,5,2,15,22,"18th Sep, 2023",ATS Kocoon,33300007.00,33300007.00,10935.00,,R,,3045,1.00,282.89, ? 282.89 ,SPID_GROUP_SEARCH_NORMAL,3045 sq.ft.,33300000.00,ATS Kocoon,ATS Kocoon
S,Residential Apartment,Gurgaon,Sector 108 Gurgaon,1,1,9195.00,,2,1,2,10,14,"18th Sep, 2023",Experion The Heartsong,21500007.00,21500007.00,9195.00,,R,,2338,1.00,217.21, ? 217.21 ,SPID_GROUP_SEARCH_NORMAL,2338 sq.ft.,21500000.00,Experion The Heartsong,Experion The Heartsong
S,Independent House/Villa,Gurgaon,Sector 48 Gurgaon,1,1,177238.00,,4,6,2,,2,"14th Sep, 2023",Eldeco Mansionz,47500000.00,47500000.00,177238.00,,R,,,1.00,224.08, ? 224.08 ,SPID_GROUP_SEARCH_NORMAL,2412 sq.ft.,47500000.00,Eldeco Mansionz,Eldeco Mansionz
S,Residential Apartment,Gurgaon,Sector 71 Gurgaon,1,1,7098.00,,4,5,3,5,14,"11th Sep, 2023",CHD Avenue 71,11500000.00,11500000.00,7098.00,,R,1400,1620,1.00,150.50, ? 150.50 ,SPID_GROUP_SEARCH_NORMAL,1620 sq.ft.,11500000.00,CHD Avenue 71,CHD Avenue 71
S,Independent House/Villa,Gurgaon,Sector 33 Gurgaon,1,1,179090.00,,4,3,6,,2,"11th Sep, 2023",Unitech Uniworld Resorts,98500000.00,98500000.00,179090.00,,R,,,1.00,459.87, ? 459.87 ,SPID_GROUP_SEARCH_NORMAL,4950 sq.ft.,98500000.00,Unitech Uniworld Resorts,Unitech Uniworld Resorts
S,Independent/Builder Floor,Gurgaon,Sector 48 Gurgaon,1,1,7857.00,,4,5,2,1,3,"08th Sep, 2023",Vipul World,16500000.00,16500000.00,7857.00,,R,2100,,1.00,195.10, ? 195.10 ,SPID_GROUP_SEARCH_NORMAL,2100 sq.ft.,16500000.00,Vipul World,Vipul World
S,Independent/Builder Floor,Gurgaon,Sector 48 Gurgaon,1,1,45833.00,,4,1,1,1,2,"08th Sep, 2023",Vipul World,16500000.00,16500000.00,45833.00,,R,3240,,1.00,301.01, ? 301.01 ,SPID_GROUP_SEARCH_NORMAL,3240 sq.ft.,16500000.00,Vipul World,Vipul World
S,Residential Apartment,Gurgaon,Sector 102 Gurgaon,1,1,11646.00,,2,5,2,10,24,"08th Sep, 2023",Adani M2K Oyster Grande,22000007.00,22000007.00,11646.00,,R,,1889,1.00,175.49, ? 175.49 ,SPID_GROUP_SEARCH_NORMAL,1889 sq.ft.,22000000.00,Adani M2K Oyster Grande,Adani M2K Oyster Grande
S,Residential Apartment,Gurgaon,Sector 102 Gurgaon,1,1,9499.00,,2,1,2,10,24,"08th Sep, 2023",Adani M2K Oyster Grande,24500007.00,24500007.00,9499.00,,R,,2579,1.00,239.60, ? 239.60 ,SPID_GROUP_SEARCH_NORMAL,2579 sq.ft.,24500000.00,Adani M2K Oyster Grande,Adani M2K Oyster Grande
S,Residential Apartment,Gurgaon,Sector 102 Gurgaon,1,1,10864.00,,2,6,1,14,26,"08th Sep, 2023",Shapoorji Pallonji Joyville Gurugram,13200007.00,13200007.00,10864.00,,R,,1215,1.00,112.88, ? 112.88 ,SPID_GROUP_SEARCH_NORMAL,1215 sq.ft.,13200000.00,Shapoorji Pallonji Joyville Gurugram,Shapoorji Pallonji Joyville Gurugram
S,Residential Apartment,Gurgaon,Sector 102 Gurgaon,1,1,10710.00,,2,6,2,7,26,"08th Sep, 2023",Shapoorji Pallonji Joyville Gurugram,9800007.00,9800007.00,10710.00,,R,,915,1.00,85.01, ? 85.01 ,SPID_GROUP_SEARCH_NORMAL,915 sq.ft.,980000000.00,Shapoorji Pallonji Joyville Gurugram,Shapoorji Pallonji Joyville Gurugram
S,Independent House/Villa,Gurgaon,Sector 109 Gurgaon,1,1,284552.00,,2,1,2,,4,"07th Sep, 2023",International City by SOBHA Phase 2,70000007.00,70000007.00,284552.00,,R,,,1.00,205.69, ? 205.69 ,SPID_GROUP_SEARCH_NORMAL,2214 sq.ft.,70000000.00,International City by SOBHA Phase 2,International City by SOBHA Phase 2
S,Residential Apartment,Gurgaon,Sector 106 Gurgaon,1,1,7954.00,,2,5,2,10,24,"07th Sep, 2023",Paras Dews,14000007.00,14000007.00,7954.00,,R,,1760,1.00,163.51, ? 163.51 ,SPID_GROUP_SEARCH_NORMAL,1760 sq.ft.,14000000.00,Paras Dews,Paras Dews
S,Residential Apartment,Gurgaon,Sector 106 Gurgaon,1,1,7807.00,,2,1,2,11,24,"07th Sep, 2023",Paras Dews,13000007.00,13000007.00,7807.00,,R,,1665,1.00,154.68, ? 154.68 ,SPID_GROUP_SEARCH_NORMAL,1665 sq.ft.,13000000.00,Paras Dews,Paras Dews
S,Residential Apartment,Gurgaon,Sector 56 Gurgaon,1,1,8749.00,,4,3,3,5,9,"07th Sep, 2023",Bhagwanti Apartment,17000000.00,17000000.00,8749.00,,R,1943,2000,1.00,185.81, ? 185.81 ,SPID_GROUP_SEARCH_NORMAL,2000 sq.ft.,17000000.00,Bhagwanti Apartment,Bhagwanti Apartment
S,Residential Land,Gurgaon,Sector 102 Gurgaon,1,1,155000.00,,0,1,0,,4,"06th Sep, 2023",Adani Oyster Greens,27125007.00,27125007.00,155000.00,,R,,,1.00,146.32, ? 146.32 ,SPID_GROUP_SEARCH_NORMAL,1575 sq.ft.,27100000.00,Adani Oyster Greens,Adani Oyster Greens
S,Independent/Builder Floor,Gurgaon,Sector 102 Gurgaon,1,1,64000.00,,0,1,2,2,4,"06th Sep, 2023",BPTP Amstoria,32000007.00,32000007.00,64000.00,,R,4500,,1.00,418.06, ? 418.06 ,SPID_GROUP_SEARCH_NORMAL,4500 sq.ft.,32000000.00,BPTP Amstoria,BPTP Amstoria
S,Residential Land,Gurgaon,Sector 102 Gurgaon,1,1,155000.00,,0,1,0,,4,"06th Sep, 2023",Adani Oyster Greens,24800007.00,24800007.00,155000.00,,R,,,1.00,133.78, ? 133.78 ,SPID_GROUP_SEARCH_NORMAL,1440 sq.ft.,24800000.00,Adani Oyster Greens,Adani Oyster Greens
S,Residential Land,Gurgaon,Sector 102 Gurgaon,1,1,152000.00,,0,1,0,,4,"06th Sep, 2023",Adani Oyster Greens,22040007.00,22040007.00,152000.00,,R,,,1.00,121.24, ? 121.24 ,SPID_GROUP_SEARCH_NORMAL,1305 sq.ft.,22000000.00,Adani Oyster Greens,Adani Oyster Greens
S,Residential Land,Gurgaon,Sector 102 Gurgaon,1,1,155000.00,,0,1,0,,4,"06th Sep, 2023",Adani Oyster Greens,20150007.00,20150007.00,155000.00,,R,,,1.00,108.70, ? 108.70 ,SPID_GROUP_SEARCH_NORMAL,1170 sq.ft.,20200000.00,Adani Oyster Greens,Adani Oyster Greens
S,Residential Land,Gurgaon,Sector 102 Gurgaon,1,1,155000.00,,0,1,0,,4,"06th Sep, 2023",Adani Oyster Greens,17825007.00,17825007.00,155000.00,,R,,,1.00,96.15, ? 96.15 ,SPID_GROUP_SEARCH_NORMAL,1035 sq.ft.,17800000.00,Adani Oyster Greens,Adani Oyster Greens
S,Residential Land,Gurgaon,Sector 102 Gurgaon,1,1,140000.00,,0,1,0,,4,"06th Sep, 2023",BPTP Amstoria,70000007.00,70000007.00,140000.00,,R,,,1.00,418.06, ? 418.06 ,SPID_GROUP_SEARCH_NORMAL,4500 sq.ft.,70000000.00,BPTP Amstoria,BPTP Amstoria
S,Residential Land,Gurgaon,Sector 102 Gurgaon,1,1,160000.00,,0,1,0,,4,"06th Sep, 2023",BPTP Amstoria,38560007.00,38560007.00,160000.00,,R,,,1.00,201.51, ? 201.51 ,SPID_GROUP_SEARCH_NORMAL,2169 sq.ft.,38600000.00,BPTP Amstoria,BPTP Amstoria
S,Residential Apartment,Gurgaon,Sector 111 Gurgaon,1,1,12203.00,,2,1,2,12,21,"06th Sep, 2023",Puri Diplomatic Greens,36000007.00,36000007.00,12203.00,,R,,2950,1.00,274.06, ? 274.06 ,SPID_GROUP_SEARCH_NORMAL,2950 sq.ft.,36000000.00,Puri Diplomatic Greens,Puri Diplomatic Greens
S,Residential Land,Gurgaon,Sector 102 Gurgaon,1,1,150000.00,,0,1,0,,4,"06th Sep, 2023",BPTP Amstoria,45450007.00,45450007.00,150000.00,,R,,,1.00,253.35, ? 253.35 ,SPID_GROUP_SEARCH_NORMAL,2727 sq.ft.,45500000.00,BPTP Amstoria,BPTP Amstoria
S,Residential Land,Gurgaon,Sector 102 Gurgaon,1,1,165000.00,,0,1,0,,4,"06th Sep, 2023",BPTP Amstoria,41250007.00,41250007.00,165000.00,,R,,,1.00,209.03, ? 209.03 ,SPID_GROUP_SEARCH_NORMAL,2250 sq.ft.,41300000.00,BPTP Amstoria,BPTP Amstoria
S,Residential Land,Gurgaon,Sector 102 Gurgaon,1,1,155000.00,,0,1,0,,4,"06th Sep, 2023",BPTP Amstoria,34875007.00,34875007.00,155000.00,,R,,,1.00,188.13, ? 188.13 ,SPID_GROUP_SEARCH_NORMAL,2025 sq.ft.,34900000.00,BPTP Amstoria,BPTP Amstoria
S,Residential Apartment,Gurgaon,Sector 111 Gurgaon,1,1,12181.00,,2,1,2,21,21,"06th Sep, 2023",Puri Diplomatic Greens,26800007.00,26800007.00,12181.00,,R,,2200,1.00,204.39, ? 204.39 ,SPID_GROUP_SEARCH_NORMAL,2200 sq.ft.,26800000.00,Puri Diplomatic Greens,Puri Diplomatic Greens
S,Residential Land,Gurgaon,Sector 102 Gurgaon,1,1,150000.00,,0,1,0,,4,"06th Sep, 2023",BPTP Amstoria,29550007.00,29550007.00,150000.00,,R,,,1.00,164.72, ? 164.72 ,SPID_GROUP_SEARCH_NORMAL,1773 sq.ft.,29600000.00,BPTP Amstoria,BPTP Amstoria
S,Residential Land,Gurgaon,Sector 102 Gurgaon,1,1,160000.00,,0,3,0,,4,"06th Sep, 2023",BPTP Amstoria,28800007.00,28800007.00,160000.00,,R,,,1.00,150.50, ? 150.50 ,SPID_GROUP_SEARCH_NORMAL,1620 sq.ft.,28800000.00,BPTP Amstoria,BPTP Amstoria
S,Residential Land,Gurgaon,Sector 99 Gurgaon,1,1,110000.00,,0,1,0,,4,"06th Sep, 2023",G99,82500007.00,82500007.00,110000.00,,R,,,1.00,627.10, ? 627.10 ,SPID_GROUP_SEARCH_NORMAL,6750 sq.ft.,82500000.00,G99,G99
S,Residential Land,Gurgaon,Sector 99 Gurgaon,1,1,110000.00,,0,1,0,,4,"06th Sep, 2023",G99,70950007.00,70950007.00,110000.00,,R,,,1.00,539.30, ? 539.30 ,SPID_GROUP_SEARCH_NORMAL,5805 sq.ft.,71000000.00,G99,G99
S,Residential Land,Gurgaon,Sector 99 Gurgaon,1,1,135000.00,,0,1,0,,4,"06th Sep, 2023",G99,63450007.00,63450007.00,135000.00,,R,,,1.00,392.98, ? 392.98 ,SPID_GROUP_SEARCH_NORMAL,4230 sq.ft.,63500000.00,G99,G99
S,Residential Land,Gurgaon,Sector 99 Gurgaon,1,1,135000.00,,0,1,0,,4,"06th Sep, 2023",G99,57510007.00,57510007.00,135000.00,,R,,,1.00,356.19, ? 356.19 ,SPID_GROUP_SEARCH_NORMAL,3834 sq.ft.,57500000.00,G99,G99
S,Residential Land,Gurgaon,Sector 99 Gurgaon,1,1,145000.00,,0,1,0,,4,"06th Sep, 2023",G99,49880007.00,49880007.00,145000.00,,R,,,1.00,287.63, ? 287.63 ,SPID_GROUP_SEARCH_NORMAL,3096 sq.ft.,49900000.00,G99,G99
S,Residential Land,Gurgaon,Sector 99 Gurgaon,1,1,150000.00,,0,1,0,,4,"06th Sep, 2023",G99,44250007.00,44250007.00,150000.00,,R,,,1.00,246.66, ? 246.66 ,SPID_GROUP_SEARCH_NORMAL,2655 sq.ft.,44300000.00,G99,G99
S,Residential Land,Gurgaon,Sector 99 Gurgaon,1,1,160000.00,,0,1,0,,4,"06th Sep, 2023",G99,41280007.00,41280007.00,160000.00,,R,,,1.00,215.72, ? 215.72 ,SPID_GROUP_SEARCH_NORMAL,2322 sq.ft.,41300000.00,G99,G99
S,Residential Land,Gurgaon,Sector 108 Gurgaon,1,1,90000.00,,0,1,0,,4,"06th Sep, 2023",Experion The Westerlies,67500007.00,67500007.00,90000.00,,R,,,1.00,627.10, ? 627.10 ,SPID_GROUP_SEARCH_NORMAL,6750 sq.ft.,67500000.00,Experion The Westerlies,Experion The Westerlies
S,Residential Land,Gurgaon,Sector 108 Gurgaon,1,1,98000.00,,0,1,0,,4,"06th Sep, 2023",Experion The Westerlies,57428007.00,57428007.00,98000.00,,R,,,1.00,489.97, ? 489.97 ,SPID_GROUP_SEARCH_NORMAL,5274 sq.ft.,57400000.00,Experion The Westerlies,Experion The Westerlies
S,Residential Land,Gurgaon,Sector 108 Gurgaon,1,1,100000.00,,0,1,0,,4,"06th Sep, 2023",Experion The Westerlies,50000007.00,50000007.00,100000.00,,R,,,1.00,418.06, ? 418.06 ,SPID_GROUP_SEARCH_NORMAL,4500 sq.ft.,50000000.00,Experion The Westerlies,Experion The Westerlies
S,Residential Land,Gurgaon,Sector 108 Gurgaon,1,1,105000.00,,0,1,0,,4,"06th Sep, 2023",Experion The Westerlies,42000007.00,42000007.00,105000.00,,R,,,1.00,334.45, ? 334.45 ,SPID_GROUP_SEARCH_NORMAL,3600 sq.ft.,42000000.00,Experion The Westerlies,Experion The Westerlies
S,Residential Land,Gurgaon,Sector 108 Gurgaon,1,1,110000.00,,0,1,0,,4,"06th Sep, 2023",Experion The Westerlies,39490007.00,39490007.00,110000.00,,R,,,1.00,300.17, ? 300.17 ,SPID_GROUP_SEARCH_NORMAL,3231 sq.ft.,39500000.00,Experion The Westerlies,Experion The Westerlies
S,Residential Land,Gurgaon,Sector 108 Gurgaon,1,1,115000.00,,0,3,0,,4,"06th Sep, 2023",Experion The Westerlies,31280000.00,31280000.00,115000.00,,R,,,1.00,227.43, ? 227.43 ,SPID_GROUP_SEARCH_NORMAL,2448 sq.ft.,31300000.00,Experion The Westerlies,Experion The Westerlies
S,Residential Land,Gurgaon,Sector 108 Gurgaon,1,1,135000.00,,0,1,0,,4,"06th Sep, 2023",Experion The Westerlies,33885007.00,33885007.00,135000.00,,R,,,1.00,209.87, ? 209.87 ,SPID_GROUP_SEARCH_NORMAL,2259 sq.ft.,33900000.00,Experion The Westerlies,Experion The Westerlies
S,Residential Land,Gurgaon,Sector 108 Gurgaon,1,1,110000.00,,0,1,0,,4,"06th Sep, 2023",Experion The Westerlies,23650007.00,23650007.00,110000.00,,R,,,1.00,179.77, ? 179.77 ,SPID_GROUP_SEARCH_NORMAL,1935 sq.ft.,23700000.00,Experion The Westerlies,Experion The Westerlies
S,Residential Land,Gurgaon,Sector 108 Gurgaon,1,1,128000.00,,0,1,0,,4,"06th Sep, 2023",Experion The Westerlies,24704007.00,24704007.00,128000.00,,R,,,1.00,161.37, ? 161.37 ,SPID_GROUP_SEARCH_NORMAL,1737 sq.ft.,24700000.00,Experion The Westerlies,Experion The Westerlies
S,Residential Land,Gurgaon,Sector 108 Gurgaon,1,1,128000.00,,0,1,0,,4,"06th Sep, 2023",Experion The Westerlies,23040007.00,23040007.00,128000.00,,R,,,1.00,150.50, ? 150.50 ,SPID_GROUP_SEARCH_NORMAL,1620 sq.ft.,23000000.00,Experion The Westerlies,Experion The Westerlies
S,Residential Apartment,Gurgaon,Sector 109 Gurgaon,1,1,6786.00,,2,6,2,6,19,"04th Sep, 2023",SBTL Caladium,17000007.00,17000007.00,6786.00,,R,,2505,1.00,232.72, ? 232.72 ,SPID_GROUP_SEARCH_NORMAL,2505 sq.ft.,17000000.00,SBTL Caladium,SBTL Caladium
S,Residential Land,Gurgaon,Sector 73 Gurgaon,1,1,132948.00,,0,4,0,,4,"04th Sep, 2023",AB Realty The Valencia,23500000.00,23500000.00,132948.00,,R,,,1.00,147.72, ? 147.72 ,SPID_GROUP_SEARCH_NORMAL,1590 sq.ft.,23500000.00,AB Realty The Valencia,AB Realty The Valencia
S,Residential Apartment,Gurgaon,Sector 109 Gurgaon,1,1,9284.00,,2,3,2,11,27,"04th Sep, 2023",ATS Tourmaline,24000007.00,24000007.00,9284.00,,R,,2585,1.00,240.15, ? 240.15 ,SPID_GROUP_SEARCH_NORMAL,2585 sq.ft.,24000000.00,ATS Tourmaline,ATS Tourmaline
S,Independent House/Villa,Gurgaon,Sector 109 Gurgaon,1,1,240740.00,,2,4,2,,4,"04th Sep, 2023",International City by Sobha Phase 1,65000007.00,65000007.00,240740.00,,R,,,1.00,225.75, ? 225.75 ,SPID_GROUP_SEARCH_NORMAL,2430 sq.ft.,65000000.00,International City by Sobha Phase 1,International City by Sobha Phase 1
S,Residential Apartment,Gurgaon,Sector 109 Gurgaon,1,1,8285.00,,2,1,2,5,27,"04th Sep, 2023",ATS Tourmaline,14500007.00,14500007.00,8285.00,,R,,1750,1.00,162.58, ? 162.58 ,SPID_GROUP_SEARCH_NORMAL,1750 sq.ft.,14500000.00,ATS Tourmaline,ATS Tourmaline
S,Residential Apartment,Gurgaon,Sector 109 Gurgaon,1,1,8604.00,,2,5,2,12,27,"04th Sep, 2023",ATS Tourmaline,18500007.00,18500007.00,8604.00,,R,,2150,1.00,199.74, ? 199.74 ,SPID_GROUP_SEARCH_NORMAL,2150 sq.ft.,18500000.00,ATS Tourmaline,ATS Tourmaline
