PREFERENCE,PROPERTY_TYPE,CITY,LOCALITY,TRANSACT_TYPE,OWNTYPE, PRICE_PER_UNIT_AREA ,,FURNISH,FACING,AGE,FLOOR_NUM,TOTAL_FLOOR,REGISTER_DATE,PROP_NAME,MIN_PRICE ,MAX_PRICE ,PRICE_SQFT ,,LISTING,CARPET_SQFT,SUPERBUILTUP_SQFT,BROKERAGE,MIN_AREA_SQFT, MAX_AREA_SQFT ,GROUP_NAME,AREA,PRICE,SOCIETY_NAME,BUILDING_NAME
S,Residential Apartment,Gurgaon,Sector 109 Gurgaon,1,1,7159.00,,4,0,1,1,20,"16th Sep, 2023",Brisk Lumbini Terrace Homes,15500000.00,15500000.00,7159.00,,R,,2165,1.00,201.13, ? 201.13 ,SPID_GROUP_SEARCH_NORMAL,2165 sq.ft.,15500000.00,Brisk Lumbini Terrace Homes,Brisk Lumbini Terrace Homes
S,Residential Apartment,Gurgaon,Sector 102 Gurgaon,1,1,9382.00,,0,0,1,10,14,"16th Sep, 2023",Emaar Imperial Gardens,19000000.00,19000000.00,9382.00,,R,,2025,1.00,188.13, ? 188.13 ,SPID_GROUP_SEARCH_NORMAL,2025 sq.ft.,19000000.00,Emaar Imperial Gardens,Emaar Imperial Gardens
S,Residential Apartment,Gurgaon,Sector 102 Gurgaon,1,1,9500.00,,4,0,1,2,14,"15th Sep, 2023",Emaar Imperial Gardens,19000000.00,19000000.00,9500.00,,R,,2000,1.00,185.81, ? 185.81 ,SPID_GROUP_SEARCH_NORMAL,2000 sq.ft.,19000000.00,Emaar Imperial Gardens,Emaar Imperial Gardens
S,Residential Apartment,Gurgaon,Sector 65 Gurgaon,1,1,20370.00,,4,5,1,33,42,"14th Sep, 2023",M3M Latitude,49500000.00,49500000.00,20370.00,,R,1212,2430,495000.00,225.75, ? 225.75 ,SPID_GROUP_SEARCH_NORMAL,2430 sq.ft.,49500000.00,M3M Latitude,M3M Latitude
S,Residential Apartment,Gurgaon,Sector 102 Gurgaon,1,1,10699.00,,4,3,1,8,14,"14th Sep, 2023",Shapoorji Pallonji Joyville Gurugram,13000000.00,13000000.00,10699.00,,R,,1215,1.00,112.88, ? 112.88 ,SPID_GROUP_SEARCH_NORMAL,1215 sq.ft.,13000000.00,Shapoorji Pallonji Joyville Gurugram,Shapoorji Pallonji Joyville Gurugram
S,Independent/Builder Floor,Gurgaon,Sector 37D Gurgaon,1,1,12105.00,,4,4,5,2,4,"13th Sep, 2023",Signature Global City,11500000.00,11500000.00,12105.00,,R,950,1250,115000.00,116.13, ? 116.13 ,SPID_GROUP_SEARCH_NORMAL,1250 sq.ft.,11500000.00,Signature Global City,Signature Global City
S,Residential Apartment,Gurgaon,Sector 113 Gurgaon ,1,1,12612.00,,4,0,5,12,36,"13th Sep, 2023",M3M Capital,21000000.00,21000000.00,12612.00,,R,1150,1665,210000.00,154.68, ? 154.68 ,SPID_GROUP_SEARCH_NORMAL,1665 sq.ft.,21000000.00,M3M Capital,M3M Capital
S,Residential Apartment,Gurgaon,Sector 66 Gurgaon,1,1,17517.00,,4,1,1,5,17,"13th Sep, 2023",Emaar Mgf Sky Terraces,63500000.00,63500000.00,17517.00,,R,2200,3625,630000.00,336.77, ? 336.77 ,SPID_GROUP_SEARCH_NORMAL,3625 sq.ft.,63500000.00,Emaar Mgf Sky Terraces,Emaar Mgf Sky Terraces
S,Residential Apartment,Gurgaon,Sector 111 Gurgaon,1,1,16000.00,,1,3,6,7,21,"12th Sep, 2023",Puri Diplomatic Greens,35600000.00,35600000.00,16000.00,,R,2200,,0.00,204.39, ? 204.39 ,SPID_GROUP_SEARCH_NORMAL,2200 sq.ft.,35600000.00,Puri Diplomatic Greens,Puri Diplomatic Greens
S,Residential Apartment,Gurgaon,Sector 111 Gurgaon,1,1,13000.00,,1,3,6,2,21,"12th Sep, 2023",Puri Diplomatic Greens,22500000.00,22500000.00,13000.00,,R,,,0.00,157.94, ? 157.94 ,SPID_GROUP_SEARCH_NORMAL,1700 sq.ft.,22500000.00,Puri Diplomatic Greens,Puri Diplomatic Greens
